id,script,stock,high,low,open,close,last_price,prev_close,quantity,traded_value,52W_high,52 Week Low Price,tradetime2
1,ZENITHSTL,EQ,5.3,5.1,5.15,5.1,5.2,5.1,238674,1233290,12.7,5,11-11-2022
2,ZENITHSTL,EQ,5.3,5,5.25,5.05,5.05,5.1,197247,1006710,12.7,5,14-11-2022
3,ZENITHSTL,EQ,5.25,4.85,5.25,4.95,4.95,5.05,281235,1393400,12.7,4.85,15-11-2022
4,ZENITHSTL,EQ,5.05,4.85,5.05,4.95,5,4.95,191339,941274,12.7,4.85,16-11-2022
5,ZENITHSTL,EQ,5.05,4.75,5.05,4.8,4.85,4.95,203404,986822,12.7,4.75,17-11-2022
6,ZENITHSTL,EQ,4.9,4.6,4.85,4.65,4.65,4.8,315401,1471740,12.7,4.6,18-11-2022
7,ZENITHSTL,EQ,4.85,4.6,4.6,4.6,4.65,4.65,178291,835636,12.7,4.6,21-11-2022
8,ZENITHSTL,EQ,4.7,4.55,4.7,4.55,4.6,4.6,107597,494573,12.7,4.55,22-11-2022
9,ZENITHSTL,EQ,4.7,4.4,4.7,4.45,4.55,4.55,210048,955873,12.7,4.4,23-11-2022
10,ZENITHSTL,EQ,4.65,4.25,4.55,4.3,4.4,4.45,405854,1797270,12.7,4.25,24-11-2022
11,ZENITHSTL,EQ,4.7,4.2,4.3,4.7,4.7,4.3,449802,2047870,12.7,4.2,25-11-2022
12,ZENITHSTL,EQ,5.05,4.8,4.9,4.9,4.9,4.7,572960,2812660,12.7,4.2,28-11-2022
13,ZENITHSTL,EQ,5,4.45,5,4.65,4.7,4.9,421087,1988670,12.7,4.2,29-11-2022
14,ZENITHSTL,EQ,4.8,4.6,4.8,4.75,4.65,4.65,197117,928913,12.7,4.2,30-11-2022
15,ZENITHSTL,EQ,4.85,4.6,4.85,4.7,4.7,4.75,228269,1074590,12.7,4.2,01-12-2022
16,ZENITHSTL,EQ,4.8,4.65,4.65,4.75,4.8,4.7,128662,609404,12.7,4.2,02-12-2022
17,ZENITHSTL,EQ,4.85,4.7,4.8,4.8,4.8,4.75,226975,1086790,12.7,4.2,05-12-2022
18,ZENITHSTL,EQ,5.25,4.8,4.85,5.25,5.25,4.8,503067,2587540,12.7,4.2,06-12-2022
19,ZENITHSTL,EQ,6.1,5.5,5.5,5.75,5.75,5.25,1894837,11041800,12.7,4.2,07-12-2022
20,ZENITHSTL,EQ,6.05,5.65,5.85,5.7,5.75,5.75,600127,3483430,12.7,4.2,08-12-2022
21,ZENITHSTL,EQ,5.7,5.1,5.55,5.4,5.5,5.7,439469,2405690,12.7,4.2,09-12-2022
22,ZENITHSTL,EQ,5.55,5.15,5.55,5.3,5.25,5.4,268964,1430000,10.95,4.2,12-12-2022
23,ZENITHSTL,EQ,5.5,5.3,5.35,5.35,5.4,5.3,175504,945228,10.95,4.2,13-12-2022
24,ZENITHSTL,EQ,5.45,5.35,5.4,5.4,5.4,5.35,155355,838457,10.95,4.2,14-12-2022
25,ZENITHSTL,EQ,5.55,5.4,5.45,5.5,5.55,5.4,376772,2072890,10.95,4.2,15-12-2022
26,ZENITHSTL,EQ,5.65,5.4,5.5,5.45,5.5,5.5,223548,1236810,10.95,4.2,16-12-2022
27,ZENITHSTL,EQ,5.7,5.5,5.55,5.6,5.6,5.45,224427,1250150,10.45,4.2,19-12-2022
28,ZENITHSTL,EQ,5.6,5.5,5.6,5.55,5.5,5.6,174780,967777,10.45,4.2,20-12-2022
29,ZENITHSTL,EQ,5.6,5.25,5.6,5.3,5.25,5.55,210180,1135710,10.45,4.2,21-12-2022
30,ZENITHSTL,EQ,5.8,4.95,5.05,5.4,5.1,5.3,414285,2130470,10.45,4.2,22-12-2022
31,ZENITHSTL,EQ,5.5,4.7,5.5,4.75,4.85,5.4,488409,2356990,10.45,4.2,23-12-2022
32,ZENITHSTL,EQ,5.35,4.6,4.8,5.15,5.2,4.75,312971,1581830,9.95,4.2,26-12-2022
33,ZENITHSTL,EQ,5.6,5.1,5.6,5.4,5.45,5.15,224518,1212160,9.95,4.2,27-12-2022
34,ZENITHSTL,EQ,5.55,5.3,5.55,5.4,5.4,5.4,209479,1134760,9.95,4.2,28-12-2022
35,ZENITHSTL,EQ,5.5,5.05,5.5,5.35,5.4,5.4,260972,1395260,9.95,4.2,29-12-2022
36,ZENITHSTL,EQ,5.5,5.2,5.5,5.35,5.45,5.35,133561,715603,9.95,4.2,30-12-2022
